date,ticker,price
2024-01-01,AAPL,149.04188256399607
2024-01-02,AAPL,149.99670550543146
2024-01-03,AAPL,150.8172237738539
2024-01-04,AAPL,149.4994590003159
2024-01-05,AAPL,150.29847668018834
2024-01-06,AAPL,150.93389207521145
2024-01-07,AAPL,151.42456703189538
2024-01-08,AAPL,151.13903973044762
2024-01-09,AAPL,149.91086724711715
2024-01-10,AAPL,151.78329839400436
2024-01-11,AAPL,151.01974178812884
2024-01-12,AAPL,149.98701116491682
2024-01-13,AAPL,151.0407775182537
2024-01-14,AAPL,151.1738926655472
2024-01-15,AAPL,152.1311327415778
2024-01-16,AAPL,152.67414417666436
2024-01-17,AAPL,153.2380266426627
2024-01-18,AAPL,153.03566155110838
2024-01-19,AAPL,152.4362737039465
2024-01-20,AAPL,152.71869992548994
